Segment,Brand,Name,Price_per_Pound,Cupping_Notes,Rating,Year,Month
2_light_citrus_silky,Red Rooster Coffee Roaster,Flight Seasonal Espresso,19,"Evaluated as espresso. Intensely aromatic and sweet. White peach, nougat, jasmine, tamarind, myrrh in aroma and small cup. Plush, syrupy mouthfeel; richly drying, floral-toned finish with continued notes of white peach. In three parts milk, all of the aromatic notes converge, perfumy and complex.",94,2017,4
5_medium_fruity_mellow,Revel Coffee,Kenya Kabare AA,19,"Delicate, subtle, intricately vibrant. Honey, strawberry guava, lilac, roasted cacao nib, fine musk in aroma and cup. Buoyant, juicy acidity; lush, velvety mouthfeel. The finish is distinctive in its richly drying, yet flavor-saturated originality. All of the aroma and flavor notes from the cup are sustained in the short finish, and strawberry guava and lilac, in particular, persist far into the very long.",96,2017,4
3_medium_delicate_distilled,Temple Coffee and Tea,Ethiopia Sidamo Mulish,20,"Delicate, sweetly spicy. Baker's chocolate, pink peppercorn, rose hip, ripe peach, fresh-cut cedar in aroma and cup. Crisply bittersweet acidity; satiny mouthfeel.  The resonant finish leads with notes of stonefruit in the short; baker's chocolate and cedar round out the long.",93,2017,4
4_medium_balanced_bright_rich,Red Rooster Coffee Roaster,Milepost Peru Rayos del Sol,19,"Delicate, richly sweet. Lilac, roasted cacao nib, vanilla bean, tart quince, aromatic frankincense in aroma and cup. Roundly sweet acidity; lush, lightly syrupy mouthfeel. The gentle finish is quietly flavor-saturated, leading with fruit and floral tones in the short, cocoa in the long.",93,2017,4
5_medium_fruity_mellow,Temple Coffee and Tea,Three Pillars Blend,22,"Delicately sweet, fruit-toned. Blueberry, caramel, hibiscus-flower tea, walnut, sweet oregano in aroma and cup. Crisply sweet-tart acidity; lightly syrupy mouthfeel. The clean, tartly sweet finish leads with blueberry and caramel in the short, while the long is pleasantly herb-toned with suggestions of oregano and hibiscus.",92,2017,4
5_medium_fruity_mellow,Temple Coffee and Tea,Costa Rica Sonoran Estate Red Catuai,20,"Sweetly pungent, balanced. Baker's chocolate, magnolia, almond, pomegranate, oak in aroma and cup. Crisp, gentle acidity; lightly velvety mouthfeel. The balance of the cup carries through to the sweet-toned finish, equal parts flower, fruit and nut.",91,2017,4
3_medium_delicate_distilled,Temple Coffee and Tea,Brazil Matas de Minas,22,"Crisp, sweetly nut-toned. Toffee, pecan, fresh-cut fir, baker's chocolate, rosemary flower in aroma and cup. Mild, briskly sweet acidity; satiny mouthfeel. The gently drying, resonant finish centers around baker's chocolate in the short, with aromatic wood and nut tones resurfacing in the long.",90,2017,4
1_light_geisha,Mudhouse Coffee Roasters,"Gesha, Gesha Village 1931",176,"Delicately sweet and subtly lush. Honeysuckle, roasted cacao nib, lychee, pink grapefruit zest, myrrh in aroma and cup. Lively, expressive, crisply sweet acidity; velvety-smooth, viscous mouthfeel. The quietly resonant finish is flavor-saturated, leading with honeysuckle and pink grapefruit in the short, rounding to notes of cocoa-toned lychee in the long.",94,2017,4
2_light_citrus_silky,Barrington Coffee Roasting Co.,Ntrambo Burundi,26,"Delicate, sweetly savory. Spicy, freesia-like flowers, baker's chocolate, pink grapefruit zest, sandalwood in aroma and small cup. Crisply sweet-tart acidity; plush, velvety mouthfeel. The finish consolidates to an intriguing combination of pink grapefruit zest and rich, aromatic sandalwood.",93,2017,4
3_medium_delicate_distilled,Barrington Coffee Roasting Co.,Aricha Yirgacheffe Ethiopia,26,"Deeply and richly sweet, spice-toned. Violet, baker's chocolate, star anise, butterscotch, fresh-cut cedar in aroma and cup. Balanced, fruit-toned acidity; syrupy-smooth mouthfeel. The resonant finish extends all the flavor notes of the cup in the short, and consolidates to baker's chocolate with suggestions of cedar and star anise in the long.",94,2017,4
4_medium_balanced_bright_rich,JBC Coffee Roasters,Rock the House Blend,19,"Delicate, rich-toned. Lemon verbena, honeysuckle, cocoa powder, cedar, green grape in aroma and cup. Lively, juicy acidity; crisp, satiny mouthfeel. The sweet, resonant finish is redolent of citrusy herbs and sweet flowers supported by cocoa tones.",93,2017,3
6_dark_chocolate_juicy,JBC Coffee Roasters,Rwanda Bufcafe Espresso,23,"Evaluated as espresso. Deeply rich, sweetly savory. Dark chocolate, orange zest, vanilla, tamarind, pungently spicy flowers (lantana?) in aroma and small cup. Plush, syrupy mouthfeel; bold, sweetly tart finish with suggestions of cocoa-toned tamarind and orange zest. Crisply sweet in three parts milk, where notes of dark chocolate are amplified and the tart sweetness of tamarind-like fruit persists.",92,2017,3
5_medium_fruity_mellow,JBC Coffee Roasters,Tolima Colombia,19,"Deeply and richly sweet. Dark chocolate, ripe pomegranate, orange zest, roasted pistachio, magnolia-like flowers in aroma and cup. Crisp, sweetly tart acidity; delicate, silky mouthfeel. The sweetly savory finish leads with notes of pomegranate and pistachio in the short, rounding to cocoa tones in the resonant long.",92,2017,3
3_medium_delicate_distilled,Caffe Luxxe,Rwanda Kivu Rutsiro District,26,"Deeply sweet, invitingly structured. Bakerês chocolate, cedar, brown sugar, pungent berry, bittersweet, bergamot-like citrus in aroma and cup. Balanced, sweet-tart acidity; satiny mouthfeel. The finish rounds and consolidates around bakerês chocolate and brown sugar.",91,2017,3
3_medium_delicate_distilled,Press Coffee Roasters,Ethiopia Guji Shakiso Danbi Uddo,24,"Subtly lush, richly sweet-tart. Candied Meyer lemon zest, violet, roasted cacao nib, sandalwood, fine musk in aroma and cup. Crisp, vibrant, balanced acidity; satiny-smooth mouthfeel. The cocoa-toned finish leads with violet-like floral notes in the short, consolidating to sandalwood with a hint of sweet lemon zest in the long.",94,2017,3
3_medium_delicate_distilled,Branch Street Coffee Roasters,Kenya AA Gura Auction Lot,20,"Delicate, sweetly tart. Red currant, roasted cacao nib, orange zest, graham cracker, marjoram in aroma and cup. Crisp, balanced acidity; velvety mouthfeel. The finish resonates with flavor, particularly savory-sweet red currant and orange zest in the short. sweet marjoram notes in the long.",94,2017,2
2_light_citrus_silky,Hula Daddy Kona Coffee,100% Kona Bourbon Pointu Laurina,99,"Complexly layered, richly sweet-savory. Violet, dried fig, almond butter, ginseng, fine musk in aroma and cup. Bright, sweet-tart acidity; delicate, silky-smooth mouthfeel. The intense, resonant finish is saturated with all the flavor notes from the cup, in particular the fruit and floral tones, which ring on and on.",96,2017,2
6_dark_chocolate_juicy,Red Rooster Coffee Roaster,Flight Seasonal Espresso,19,"Evaluated as espresso. Bright, chocolaty, floral-toned. Grapefruit, dark chocolate, hazelnut butter, lavender, fresh-cut cedar in aroma and small cup. Lively, full, velvety mouthfeel; tart, aromatic wood-framed finish. Dark chocolate notes are enlivened in three parts milk, with intimations of lavender-like flowers throughout.",93,2017,2
2_light_citrus_silky,Dragonfly Coffee Roasters,Sumatra Highlands Lintong Batak,18,"Deeply sweet, richly earth-toned. Pipe tobacco, lime zest, ripe pear, freesia, sandalwood in aroma and cup. Sweet-toned, vibrant acidity; very delicate, silky-smooth mouthfeel. The crisp, flavor-saturated finish leads with notes of pipe tobacco in the short, sweetening toward ripe pear and spice-toned florals in the long.",92,2017,2
3_medium_delicate_distilled,Dragonfly Coffee Roasters,Yemen Port of Mokha Hayma Microlot,170,"Intricately layered, sweetly tart, harmoniously composed. Aromatic orchid, candied ginger, frankincense, Concord grape, roasted cacao nib in aroma and cup. Bright, juicy, fruit-toned acidity; elegant, satiny mouthfeel. The flavor-saturated finish fulfills the promise of the cup, amplifying all aroma and flavor notes in the short and introducing coconut tones in the long.",97,2017,2
2_light_citrus_silky,Sweet Bloom Coffee Roasters,Edgar Motta Colombia Pink Bourbon,25,"Delicate, sweet-toned, subtly complex. Rhododendron, date, graham cracker, pink peppercorn, maple syrup in aroma and cup. Bright, juicy, citrus-like acidity; lightly satiny mouthfeel. The gently drying finish consolidates around notes of date and graham cracker in the short, with suggestions of spicy floral tones (pink peppercorn) in the long.",94,2017,2
2_light_citrus_silky,Greater Goods Coffee Roasters,Ethiopia Celinga,20,"Sweet-toned, spicy. Jasmine, caramel, hazelnut, black peppercorn, fresh-cut fir in aroma and cup. Crisply sweet acidity; light but velvety-smooth mouthfeel. The sweet, gently drying finish consolidates around suggestions of spice-toned caramel.",91,2017,2
3_medium_delicate_distilled,Park Avenue Coffee,Papua New Guinea PB Kimel Estate,17,"Sweetly tart, delicately spicy. Pomegranate, cocoa nib, brown sugar, clove, grapefruit blossom in aroma and cup. Big, juicy, sweet-tart acidity; crisp, velvety mouthfeel. All aroma and flavor notes carry harmoniously into a resonant, flavor-saturated finish.",94,2017,2
1_light_geisha,Temple Coffee and Tea,Panama La Esmeralda Noria Enero Geisha,152,"Delicately and sweetly tart. Lush rose, almond, plum, roasted cacao nib, tangerine zest in aroma and cup. Zesty, juicy-rich acidity; full, buoyant mouthfeel. The deeply sweet, resonant finish confidently rings on with all of the flavor notes from the cup.",95,2017,1
3_medium_delicate_distilled,JBC Coffee Roasters,Rwanda Bufcafe,23,"Crisply sweet, intricately layered. Grapefruit, cocoa nib, honeysuckle, white sage, a suggestion of wild mushroom in aroma and cup. Juicy, balanced acidity; velvety-smooth mouthfeel. The sweet-savory finish is flavor-saturated, leading with fruit and floral tones in the short and culminating in umami-toned intrigue with hints of white sage and wild mushroom.",95,2017,1
4_medium_balanced_bright_rich,JBC Coffee Roasters,Ulos Batak Sumatra Peaberry,24,"Intensely rich, complex, vast. Plumeria, chocolate fudge, white grapefruit, perique (fermented) pipe tobacco, white truffle in aroma and cup. Juicy, bright acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish is long, balanced, and reiterates all of the tendencies in the cup: sweet (plumeria, chocolate), tart (white grapefruit), savory (pipe tobacco, truffle).",97,2017,1
2_light_citrus_silky,Red Rooster Coffee Roaster,Sumatra Wahana Estate,24,"Deeply and sweetly pungent; floral-toned. Narcissus, nougat, sandalwood, grapefruit zest, moist, freshly fallen leaves in aroma and cup. Crisp, sweet-tart acidity; plush, syrupy mouthfeel. The deep, savory-edged finish conjures fine sandalwood incense with sweet floral undertones.",93,2016,12
4_medium_balanced_bright_rich,Red Rooster Coffee Roaster,Ethiopia Banko Dhadhato,19,"Delicately and richly sweet; balanced. Lemon verbena, myrrh, honeysuckle, spearmint, roasted cacao nib in aroma and cup. Crisply juicy, sweetly tart acidity; satiny mouthfeel. The gently drying, flavor-saturated finish is resonant with citrus and sweet herb enveloped in cocoa tones.",93,2016,12
4_medium_balanced_bright_rich,Kakalove Cafe,Ethiopia Natural Hambela Buku,19,"Profoundly sweet, richly composed. Dried mulberry, myrrh, roasted cacao nib, grapefruit zest, wisteria in aroma and cup. Crisp, bright acidity; plush, velvety mouthfeel. The floral-toned finish is resonant with notes of wisteria, cocoa and myrrh.",94,2016,12
1_light_geisha,Klatch Coffee,Panama Camilina Natural Geisha,99,"Deeply rich, enticingly sweet. Butterscotch, peach, narcissus, almond, grapefruit zest in aroma and cup. Juicy, vibrant acidity; full, velvety mouthfeel. All the flavors from the cup carry into a resonant, flavor-saturated short finish, consolidating around butterscotch notes in the long.",94,2016,12
3_medium_delicate_distilled,Paradise Roasters,Hawaii Kilauea Volcano Nano-Lot,96,"Lush, deeply sweet, richly savory. Plumeria, red currant, lime zest, frankincense, roasted cacao nib in aroma and cup. Bright, juicy acidity; full, syrupy mouthfeel. The sweetly tart, resonant finish is flavor-saturated, with all the notes from cup and short finish carrying far into the long.",96,2016,12
3_medium_delicate_distilled,Kickapoo Coffee Roasters,Ethiopia Charbanta Natural,24,"Delicately lush, deeply sweet. Blueberry, bergamot, wisteria, chocolate fudge, a hint of whisky in aroma and cup. Bright, lively acidity; syrupy but buoyant mouthfeel. The resonant, flavor-saturated finish carries through on all the promises of the cup, including the suggestion of highlands Scotch whisky, a discreet touch of elegant, fruit-toned sweet ferment.",95,2016,12
4_medium_balanced_bright_rich,Willoughby's Coffee & Tea,Panama Don Julian Pacamara,49,"Deeply sweet, richly savory. Butterscotch, lavender, tamarind, roasted cacao nib, mango in aroma and cup. Big, juicy acidity; viscous, velvety mouthfeel. In addition to resonant butterscotch and lavender tones in the short finish, the long introduces an appealing coconut note.",95,2016,12
4_medium_balanced_bright_rich,PT's Coffee Roasting Co.,Esmeralda Noria Natural,95,"Expressive, balanced, richly sweet. Lemon blossom, baker's chocolate, cashew butter, aged Tequila, tea rose in aroma and cup. Vibrant, balanced acidity; satiny-smooth mouthfeel. Lemon blossom and cashew butter carry the short finish, while notes of aged Tequila, suggesting a refined sweet ferment, return in the long, enveloped by baker's chocolate.",95,2016,12
3_medium_delicate_distilled,Red Rooster Coffee Roaster,Sweet Holiday Blend,19,"Delicately rich, crisp, balanced. Dried apricot, baker's chocolate, rhododendron, orange zest, cinnamon in aroma and cup. Lively, juicy acidity; velvety mouthfeel. Cinnamon-like spice leads in the short finish; dried fruit and vanilla-like flowers resonate in the long.",93,2016,12
5_medium_fruity_mellow,Hula Daddy Kona Coffee,Kahiko Holiday Coffee,89,"Intense, deeply aromatic, richly sweet. Dark chocolate, scorched lemon zest, rose, passion fruit, vanilla in aroma and cup. Engaging, fruit-toned acidity; syrupy mouthfeel. The crisp finish consolidates to a cocoa-toned passion fruit with continued appealing notes of lemon zest.",93,2016,12
5_medium_fruity_mellow,Mystic Monk Coffee,Christmas Blend,19,"Rich, roast-rounded. Almond, dark chocolate, strawberry guava, rhododendron-like flowers, orange zest in aroma and cup. Mild, sweet-toned acidity; plush, syrupy mouthfeel. The chocolate-framed finish is quietly resonant and deeply sweet, with continued hints of flowers.",91,2016,12
4_medium_balanced_bright_rich,Durango Coffee Company,Costa Rica Las Lajas Red Honey,21,"Bold, caramel-toned. Caramel, baker's chocolate, cedar, black cherry, magnolia in aroma and cup. Rounded, gentle acidity; lean, satiny mouthfeel. The gently drying finish is wood-framed, with sweet notes of caramel and chocolate.",90,2016,11
4_medium_balanced_bright_rich,Mystic Monk Coffee,Thanksgiving Blend,18,"Sweetly roast-toned, chocolaty. Dark chocolate, gently scorched oak, cashew, lily-like flowers, dried apple in aroma and cup. Gentle, backgrounded acidity; velvety-smooth mouthfeel. The rich, gently drying finish is laden with chocolate tones in the short and smoky oak and sweet flowers in the long.",90,2016,11
2_light_citrus_silky,Kean Coffee,Kenya Lenana,21,"Sweetly tart, deeply floral. Honeysuckle, mango, sarsparilla, butterscotch, pipe tobacco in aroma and cup. Juicy, buoyantly tart acidity; full, syrupy mouthfeel. The quietly resonant finish centers around sarsparilla and butterscotch.",94,2016,11
2_light_citrus_silky,JBC Coffee Roasters,Toarco Jaya Sulawesi,22,"Luscious, sweetly savory. Candied yam, sarsaparilla, baker's chocolate, rhododendron-like flowers, pomegranate in aroma and cup. Round, balanced acidity; full, syrupy mouthfeel. The cleanly resonant finish is carried by sarsaparilla and sweet yam notes.",93,2016,11
5_medium_fruity_mellow,Dragonfly Coffee Roasters,Los Congos Pacamara Natural,26,"Deeply sweet, round, balanced. Blueberry, hazelnut, pipe tobacco, orange zest, graham cracker in aroma and cup. Crisp, richly tart acidity; satiny-smooth mouthfeel. The rich-toned finish leads with ripe blueberry notes in the short; a citrus-toned hazelnut resurfaces in the long.",94,2016,11
4_medium_balanced_bright_rich,Thanksgiving Coffee Company,Ethiopia Yirgacheffe Worka Coop Gedeb,22,"Delicate, deeply sweet. Baker's chocolate, magnolia, peach, black peppercorn, sandalwood in aroma and cup. Gentle, rounded acidity; velvety mouthfeel. The richly drying finish consolidates to baker's chocolate and peach.",93,2016,11
3_medium_delicate_distilled,Thanksgiving Coffee Company,Pauls Blend,16,"Richly and sweetly pungent. Concord grape, roasted cacao nib, cedar, hazelnut, lemon blossom in aroma and cup. Brisk, lightly juicy acidity; delicate, satiny mouthfeel. The crisp, nut-toned finish leads with Concord grape notes in the short and cedar in the long, with hazelnut throughout.",92,2016,11
4_medium_balanced_bright_rich,Lexington Coffee Roasters,Kibugu Kenya,23,"Deeply rich, sweetly savory. Dried mulberry, pipe tobacco, wisteria, tamarind, roasted cacao nib in aroma and cup. Juicy, balanced acidity; full, syrupy mouthfeel. The crisp, sweet-toned finish centers around mulberry and cacao nib in the short, with suggestions of tamarind resurfacing in the long.",94,2016,11
4_medium_balanced_bright_rich,Red Rooster Coffee Roaster,Flight Seasonal Espresso,19,"Evaluated as espresso. Balanced, sweetly tart. Dark chocolate, pomegranate, Oolong tea, rose-like flowers, almond in aroma and small cup. Delicate, silky mouthfeel. Clean, sweet finish, with a savory resonance. In three parts milk, chocolate tones re-emerge, along with hints of roasted almond.",93,2016,11
2_light_citrus_silky,Lexington Coffee Roasters,Don Pepe Costa Rica,22,"Tropical, sweet, wine-toned. Port wine, papaya, oak, molasses, a hint of hibiscus in aroma and small cup. Juicy, fermenty acidity; plush mouthfeel. Sweet and wine-toned in the short finish, richly drying in the long.",92,2016,11
4_medium_balanced_bright_rich,Big Shoulders Coffee,Granja La Esperanza Colombia,32,"Intricately composed, deeply sweet-savory. Pink grapefruit zest, chocolate fudge, dried papaya, roasted pumpkin, fresh bay leaf in aroma and cup. Crisply sweet-tart acidity; full, syrupy mouthfeel. The finish leads with rich chocolate fudge notes in the short, followed by roasted pumpkin and bay leaf in the long.",94,2016,11
2_light_citrus_silky,JBC Coffee Roasters,Cielo El Salvador,23,"Subtle, complexly layered. Candied ginger, pomegranate, rhododendron, cashew butter, bergamot in aroma and cup. Zesty, balanced acidity; delicate, satiny mouthfeel. The quietly resonant finish consolidates around cashew and rhododendron suggestions.",93,2016,11
3_medium_delicate_distilled,Big Shoulders Coffee,Sulawesi Tana Toraja,20,"Deeply rich, sweetly spicy. Butterscotch, pipe tobacco, rhododendron, juniper berry, roasted cacao nib in aroma and cup. Lively, juicy acidity; plush, velvety mouthfeel. The engaging finish is laden with notes of sweet pipe tobacco and butterscotch.",93,2016,11
4_medium_balanced_bright_rich,Greater Goods Coffee Roasters,Life Saver Guatemala Organic Finca La Colina,20,"Sweetly and richly enticing. Baker's chocolate, Graham cracker, dried cranberry, orange blossom, fresh-cut cedar in aroma and cup. Crisp, balanced acidity; satiny mouthfeel. The richly drying finish consolidates to baker's chocolate in the short finish, with aromatic wood notes resurfacing in the long.",92,2016,11
5_medium_fruity_mellow,Hula Daddy Kona Coffee,Mokka,79,"Seductively pungent, richly sweet, tropical. Cognac, almond butter, frankincense, lychee, sandalwood in aroma and cup. Bright, juicy acidity; full, satiny mouthfeel. The crisp finish is richly nut-toned in the short, while tropical fruit notes (lychee) return in the long, along with a pleasing new coconut (the fruit flesh) note.",95,2016,11
4_medium_balanced_bright_rich,Hula Daddy,100% Kona High Mountain Io Fancy,73,"Rich, deeply floral. Dried mango, narcissus, dark chocolate, marjoram, sandalwood in aroma and cup. Round, balanced acidity; syrupy mouthfeel. The gently drying finish is carried by dark chocolate and sweet marjoram notes.",93,2016,11
3_medium_delicate_distilled,Cimarron Coffee Roasters,Ethiopia Yirgacheffe Kochore,25,"Deeply sweet, floral-toned. Jasmine, roasted cacao nib, white peach, cinnamon, incense-like notes (frankincense) in aroma and cup. Crisp, gentle acidity; satiny-smooth mouthfeel. The sweet-toned finish is flavor-saturated, resonant with suggestions of jasmine and stonefruit in particular.",93,2017,3
4_medium_balanced_bright_rich,Turning Point Coffee,Ethiopia Yirgacheffe,30,"Delicate, vibrantly sweet. Hibiscus, roasted cocoa nib, dried mulberry, frankincense, candied orange zest in aroma and cup. Bright, juicy-tart acidity; satiny-smooth mouthfeel. Rich-toned, layered finish: dried mulberry notes in the short, cocoa-toned hibiscus in the long.",94,2016,11
4_medium_balanced_bright_rich,Turning Point Coffee,Panama Santa Teresa Natural,32,"Fruit-forward, spicy-sweet. Ripe peach, pink peppercorn, lilac, chocolate fudge, almond in aroma and cup. Gentle, round acidity; velvety mouthfeel. The sweet-toned finish is resonantly floral-toned, with supporting notes of stone fruit and chocolate.",93,2016,11
2_light_citrus_silky,KNOT Koffee,Light Roast,23,"Deeply sweet, balanced. Honey, peach, lavender, almond, baker's chocolate in aroma and cup. Gentle, backgrounded acidity; full, silky mouthfeel. The gently drying finish is crisply sweet, redolent of nut-toned honey.",92,2016,11
